"ID_SOCIEDAD","ID_SEGMENTO","SEGMENTO2","ID_LINEA_PRODUCTO_AGREG","ID_AGRUP_PRODUCTO","ID_AGRUP_PROD","ID_AGRUP_CANAL","ID_ZONA","Altas.M","freq"
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",6,"ZONA01",3050,0.525680799724233
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",6,"ZONA02",562,0.0968631506377111
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",6,"ZONA03",2190,0.377456049638056
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",9,"ZONA01",154,0.666666666666667
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",9,"ZONA02",3,0.012987012987013
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",9,"ZONA03",74,0.32034632034632
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",11,"ZONA01",0,0
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",11,"ZONA02",0,0
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",11,"ZONA03",1,1
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",1,"ZONA01",172,0.212871287128713
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",1,"ZONA02",22,0.0272277227722772
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",1,"ZONA03",614,0.75990099009901
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",2,"PDTE",0,0
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",2,"ZONA01",2601,0.312469966362326
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",2,"ZONA02",738,0.0886592984142239
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",2,"ZONA03",4985,0.59887073522345
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",5,"PDTE",1,5.26814877252134e-05
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",5,"ZONA01",9682,0.510062164155516
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",5,"ZONA02",248,0.0130650089558529
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",5,"ZONA03",9051,0.476820145400906
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",6,"PDTE",0,0
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",6,"ZONA01",15036,0.491244119184527
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",6,"ZONA02",4170,0.136238891792995
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",6,"ZONA03",11402,0.372516989022478
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",9,"PDTE",0,0
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",9,"ZONA01",6452,0.502531349793598
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",9,"ZONA02",411,0.0320118389282654
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",9,"ZONA03",5976,0.465456811278137
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",11,"PDTE",0,0
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",11,"ZONA01",365,0.255423372988104
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",11,"ZONA02",711,0.497550734779566
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",11,"ZONA03",353,0.24702589223233
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",99,"ZONA01",4,0.571428571428571
"SOC01","SEG01","SUBSEG01",2,2,"PROD05",99,"ZONA03",3,0.428571428571429
"SOC01","SEG01","SUBSEG01",2,2,"PROD11",9,"ZONA01",1,0.5
"SOC01","SEG01","SUBSEG01",2,2,"PROD11",9,"ZONA03",1,0.5
"SOC01","SEG01","SUBSEG01",2,2,"PROD13",1,"ZONA01",5,0.416666666666667
"SOC01","SEG01","SUBSEG01",2,2,"PROD13",1,"ZONA02",0,0
"SOC01","SEG01","SUBSEG01",2,2,"PROD13",1,"ZONA03",7,0.583333333333333
"SOC01","SEG01","SUBSEG01",2,2,"PROD13",2,"PDTE",0,0
"SOC01","SEG01","SUBSEG01",2,2,"PROD13",2,"ZONA01",46,0.23
"SOC01","SEG01","SUBSEG01",2,2,"PROD13",2,"ZONA02",20,0.1
"SOC01","SEG01","SUBSEG01",2,2,"PROD13",2,"ZONA03",134,0.67
